Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL24050,470.0,C=CCN1CC[C@H]2Cc3c(O)cccc3C[C@H]21,Scientific Literature,"Binding affinity against 5-hydroxytryptamine 1A receptor from bovine hippocampus, used [3H]8-OH-DPAT as radioligand",B,,Hippocampus,J Med Chem,1993,Serotonin 1a (5-HT1a) receptor,Ki,nM,,229.32,2.37
CHEMBL430332,3.0,CCCN1CC[C@H]2c3c(O)cccc3CC[C@H]21,Scientific Literature,"Binding affinity against 5-hydroxytryptamine 1A receptor from bovine hippocampus, used [3H]8-OH-DPAT as radioligand",B,,Hippocampus,J Med Chem,1993,Serotonin 1a (5-HT1a) receptor,Ki,nM,8.52,231.34,2.91
CHEMBL267769,29.0,COc1cccc2c1C[C@H]1CCN(CC3CC3)[C@@H]1C2,Scientific Literature,Tested for activity against 5-hydroxytryptamine 1A receptor from bovine hippocampus,B,,Hippocampus,J Med Chem,1995,Serotonin 1a (5-HT1a) receptor,Ki,nM,7.54,257.38,2.89
CHEMBL300763,7.45,CC(C)Oc1cccc2sc(C3CCN(C[C@H](O)COc4cccc5[nH]ccc45)CC3)cc12,Scientific Literature,Binding affinity towards 5-HT1A receptor using [3H]8-OH-DPAT as radioligand,B,,,Bioorg Med Chem Lett,2003,Serotonin 1a (5-HT1a) receptor,Ki,nM,8.13,464.63,5.79
CHEMBL420101,30.0,Cc1ccc(C(=O)Nc2ccc3[nH]cc(C4CCN(C)CC4)c3n2)cc1,Scientific Literature,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor,B,,,J Med Chem,2003,Serotonin 1a (5-HT1a) receptor,Ki,nM,7.52,348.45,3.93
CHEMBL155615,17.5,[N-]=[N+]=Nc1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1I,Scientific Literature,In vitro inhibition of [3H]5-HT (2 nM) binding to 5-HT1A receptor from bovine hippocampus,B,,Hippocampus,J Med Chem,1989,Serotonin 1a (5-HT1a) receptor,Ki,nM,7.76,501.29,5.62
CHEMBL196140,6.31,CN1CCN(c2nccc3cc4c(cc23)N(C(=O)c2cnn(C)c2C(F)(F)F)CC4)CC1,Scientific Literature,Mean binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-5-HT or [3H]8-OH-DPAT as the radioligand,B,Homo sapiens,,Bioorg Med Chem Lett,2005,Serotonin 1a (5-HT1a) receptor,Ki,nM,8.2,444.46,2.94
CHEMBL445651,160.0,CN1CCC(c2noc3ccc(NC(=O)c4ccc(F)cc4)cc23)CC1,Scientific Literature,In vitro binding affinity for human 5-hydroxytryptamine 1A receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2004,Serotonin 1a (5-HT1a) receptor,Ki,nM,6.8,353.4,4.03
CHEMBL341665,741.31,COc1cc2nc(N(C)CCCCCCN(C)C(=O)c3cccc(CN(C)C)c3)nc(N)c2cc1OC,Scientific Literature,Binding affinity at human cloned 5-hydroxytryptamine 1A receptor expressed in HeLa cells by [3H]8-hydroxy-2-(di-n-propylamino)tetraline displacement.,B,,,J Med Chem,1998,Serotonin 1a (5-HT1a) receptor,Ki,nM,6.13,508.67,4.06
CHEMBL334407,12.02,COc1ccccc1N1CCN(CCC(O)c2cc(C)sc2C)CC1,Scientific Literature,Binding affinity to 5HT1A receptor,B,,,Eur J Med Chem,2008,Serotonin 1a (5-HT1a) receptor,Ki,nM,7.92,360.52,3.62
CHEMBL3235731,44.0,COc1ccccc1N1CCN(CCCCCC(=O)N2CCC[C@H]2C(N)=O)CC1,Scientific Literature,Displacement of [3H]-8-OH-DPAT from human 5-HT1A receptor expressed in HEK293 cells after 1 hr by beta-counting,B,Homo sapiens,,Eur J Med Chem,2014,Serotonin 1a (5-HT1a) receptor,Ki,nM,7.36,402.54,1.85
CHEMBL3235757,212.0,NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)c1ccc(CN2CCN(c3cccc(Cl)c3Cl)CC2)cc1,Scientific Literature,Displacement of [3H]-8-OH-DPAT from human 5-HT1A receptor expressed in HEK293 cells after 1 hr by beta-counting,B,Homo sapiens,,Eur J Med Chem,2014,Serotonin 1a (5-HT1a) receptor,Ki,nM,6.67,523.46,4.37
CHEMBL716,230.0,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,Scientific Literature,Binding affinity to human cloned 5HT1A receptor,B,Homo sapiens,,Bioorg Med Chem,2008,Serotonin 1a (5-HT1a) receptor,Ki,nM,6.64,383.52,2.86
CHEMBL4797752,3.89,O=C(c1ccc(F)c(Cl)c1)N1CCC(F)(CNCCOc2ccc(Cl)cc2)CC1,Scientific Literature,Displacement of [3H]8-OH-DPAT from human 5-HT1A receptor stably expressed in CHO-K1 cell membranes measured after 60 mins by Microbeta2 scintillation counting method,B,Homo sapiens,,J Med Chem,2020,Serotonin 1a (5-HT1a) receptor,Ki,nM,8.41,443.32,4.75
