Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL105118,390.0,CN1CCC(c2c[nH]c3ccc(NC(=O)c4cccc([N+](=O)[O-])c4)nc23)CC1,Scientific Literature,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor,B,,,J Med Chem,2003,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.41,379.42,3.53
CHEMBL105556,25.0,CN1CCC(c2c[nH]c3ccc(OS(C)(=O)=O)nc23)CC1,Scientific Literature,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor,B,,,J Med Chem,2003,Serotonin 1b (5-HT1b) receptor,Ki,nM,7.6,309.39,1.71
CHEMBL339980,1060.0,Cc1[nH]c2cccc(NC(=O)c3ccc(F)cc3)c2c1CCN(C)C,Scientific Literature,Binding affinity towards human 5-hydroxytryptamine 1B receptor using [3H]5-HT radioligand,B,,,J Med Chem,2001,Serotonin 1b (5-HT1b) receptor,Ki,nM,5.97,339.41,3.97
CHEMBL105091,1100.0,CN1CCC(c2c[nH]c3ccc(NC(=O)c4ccco4)nc23)CC1,Scientific Literature,In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1B receptor,B,,,J Med Chem,2003,Serotonin 1b (5-HT1b) receptor,Ki,nM,5.96,324.38,3.22
CHEMBL2368612,1000.0,Cl.N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)/C=C/c3ccccc3)CC1)C2,Scientific Literature,Binding activity against human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,J Med Chem,2000,Serotonin 1b (5-HT1b) receptor,Ki,nM,6.0,450.03,4.69
CHEMBL128,5.5,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,Scientific Literature,Binding affinity was measured on 5-hydroxytryptamine 1D receptor beta in CHO cells transfected with human 5-HT1D beta gene labeled with [3H]5-HT,B,,,J Med Chem,1994,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.26,295.41,1.32
CHEMBL389068,1000.0,COc1cc(N(C)C2CCN(C)C2)c2[nH]c(C(=O)Nc3ccc(N4CCOCC4)cc3)cc(=O)c2c1,Scientific Literature,Displacement of [3H]GR125743 from 5HT1B receptor transfected in CHO cells,B,Homo sapiens,,Bioorg Med Chem,2007,Serotonin 1b (5-HT1b) receptor,Ki,nM,,491.59,2.77
CHEMBL111150,2.3,CC(C)(C)CCCCCCOc1ccc2[nH]cc(CCN)c2c1,Scientific Literature,Displacement of [3H]-5-HT from human 5-hydroxytryptamine 1D receptor beta,B,,,J Med Chem,1996,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.64,316.49,5.04
CHEMBL128,7.7,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,Scientific Literature,Binding affinity towards cloned human 5-hydroxytryptamine 1B receptor,B,,,Bioorg Med Chem Lett,2003,Serotonin 1b (5-HT1b) receptor,Ki,nM,8.11,295.41,1.32
CHEMBL182837,1430.0,Cc1cc(Br)cc(C)c1N=C1NCCN1,Scientific Literature,Binding affinity towards human 5-hydroxytryptamine 1B receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2004,Serotonin 1b (5-HT1b) receptor,Ki,nM,5.84,268.16,2.25
