Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL4098236,430.0,COc1ccccc1N1CCN(CCCCOc2ccn3ncc(C=O)c3c2)CC1,Scientific Literature,Displacement of [3H]SCH23390 from human Dopamine D1 receptor expressed in HEK293T cell membranes after 2 hrs by scintillation counting analysis,B,Homo sapiens,,J Med Chem,2017.0,Dopamine D1 receptor,Ki,nM,6.37,408.5,3.14
CHEMBL4105030,440.0,COc1ccccc1N1CCN(CCCCOc2ccn3nc(/C=N/O)cc3c2)CC1,Scientific Literature,Displacement of [3H]SCH23390 from human Dopamine D1 receptor expressed in HEK293T cell membranes after 2 hrs by scintillation counting analysis,B,Homo sapiens,,J Med Chem,2017.0,Dopamine D1 receptor,Ki,nM,6.36,423.52,3.13
CHEMBL4063282,1700.0,COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3nccc3c2)CC1,Scientific Literature,Displacement of [3H]SCH23390 from human Dopamine D1 receptor expressed in HEK293T cell membranes after 2 hrs by scintillation counting analysis,B,Homo sapiens,,J Med Chem,2017.0,Dopamine D1 receptor,Ki,nM,5.77,393.49,2.88
CHEMBL3289648,524.81,Cc1ccc(N2CCN(CCCCc3ccc(F)cc3)CC2)nc1,Scientific Literature,Displacement of [3H]SCH23390 from human dopamine D1 receptor by PDSP assay,B,Homo sapiens,,Bioorg Med Chem,2014.0,Dopamine D1 receptor,Ki,nM,6.28,327.45,3.67
CHEMBL54,270.0,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Scientific Literature,Binding affinity towards human Dopamine receptor D1,B,,,J Med Chem,2004.0,Dopamine D1 receptor,Ki,nM,6.57,375.87,4.43
CHEMBL196370,10000.0,COc1ccc(NC(=O)N2CCN(c3ccccc3OC)CC2)cc1N1CCN(C)CC1,Scientific Literature,Affinity towards cloned Dopamine receptor D1,B,Homo sapiens,,Bioorg Med Chem Lett,2005.0,Dopamine D1 receptor,Ki,nM,,439.56,2.81
CHEMBL3913343,3.7,COc1cc2c(cc1O)[C@@H]1Cc3c(OC)ccc(OC)c3CN1CC2,BindingDB Patent Bioactivity Data,"Radioligand Binding Assay: The affinity of compounds to D1 and D2 dopamine receptors were determined by competition binding assays. Membrane homogenates of HEK293T cells were stably transfected with D1, or D2 receptors. Duplicated tubes were incubated at 30Â° C. for 50 mins (for D1, and D2) with increasing concentrations of respective compound and with [3H]SCH23390 (for D1 dopamine receptors), or [3H]Spiperone (for dopamine D2 receptor) in a final volume of 200 Î¼L binding buffer containing 50 mM Tris, 4 mM MgCl2, pH 7.4. Nonspecific binding was determined by parallel incubations with either 10 Î¼M SCH23390 for D1, or Spiperone for D2 receptors respectively. The reaction was started by addition of membranes (15 ng/tube) and stopped by rapid filtration through Whatman GF/B glassfiber filter and subsequently washed with cold buffer (50 mM Tris, 5 mM EDTA, pH 7.4) using a Brandel 24-well cell harvester. Scintillation cocktail was added and the radioactivity was determined in a MicroBeta liquid scintillation counter.",B,,,,2016.0,Dopamine D1 receptor,Ki,nM,8.43,341.41,3.07
CHEMBL307790,7.0,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3C[C@@H]21,Scientific Literature,Compound was tested for the displacement of [3H]-SCH- 23390 from dopamine receptor D1,B,,,J Med Chem,1992.0,Dopamine D1 receptor,Ki,nM,8.15,299.8,3.59
CHEMBL3982119,50.07,COc1cc2c(cc1OC)[C@@H]1Cc3c(OC)ccc(OC)c3CN1CC2,BindingDB Patent Bioactivity Data,"Reception Binding Assay: Different concentrations (10^â5 M-10^â11 M) of the compound of the invention and corresponding isotope receptor ligand as well as receptor protein were loaded into the reaction tube and incubated in 30Â° C. water bath for 60 minutes. The reaction was terminated in a refrigerator. The reaction mixture was put in a Millipore filter (millipore) cell sample collector, filtered through suction filtration using GF/C glass fiber filter paper, and dried. The resulting sample was placed into 0.5 mL tube. 500 Î¼L liquid scintillation fluid was added and intensity of radioactivity was determined by counting. For dopamine D1 receptor: isotope receptor ligands [3H] SCH23390 (85.0 Ci/mmol) (D1-selective, purchased from Amersham Corporation), D1 receptor protein expressed in HEK-293 cells; For D2 dopamine receptor: isotope receptor ligands [3H] Spiperone (77.0 Ci/mmol) (D2-selective, purchased from Amersham Corporation); D2 receptor protein expressed in HEK-293 cells; For 5-HT1A receptor: isotope receptor ligands [3H] 8-OH-DPAT; 5-HT1A receptor protein expressed in HEK-293 cells; For 5-HT2A receptor: isotope receptor ligands [3H]-Ketanserin; 5-HT2A receptor protein expressed in HEK-293 cells.",B,,,,2016.0,Dopamine D1 receptor,Ki,nM,7.3,355.43,3.38
CHEMBL25856,33.0,Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2,Scientific Literature,Binding affinity to Dopamine receptor D1 by using radioligand [125I]SCH-23982 in HEK cells,B,,,Bioorg Med Chem Lett,1999.0,Dopamine D1 receptor,Ki,nM,7.48,267.33,2.65
CHEMBL603752,10000.0,C=CCc1ccc2c(c1O)-c1cc(OC)cc3c1[C@@H](C2)N(C)CC3,Scientific Literature,Displacement of [3H]SCH23390 from dopamine D1 receptor expressed in HEK293 cells by liquid scintillation counting,B,,,J Med Chem,2010.0,Dopamine D1 receptor,Ki,nM,,321.42,3.88
CHEMBL18797,13911.0,CSc1ccc(/C=C2/C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1,DrugMatrix,DRUGMATRIX: Dopamine D1 radioligand binding (ligand: [3H] SCH-23390),B,,,,,Dopamine D1 receptor,Ki,nM,4.86,340.42,5.35
CHEMBL56666,531.0,CN1CCc2cc(Cl)c(O)cc2[C@@H]2c3ccccc3CC[C@@H]21,Scientific Literature,Binding affinity to displace [3H]-SCH- 23390 against Dopamine receptor D1,B,,,J Med Chem,1990.0,Dopamine D1 receptor,Ki,nM,6.28,313.83,3.98
CHEMBL201241,10000.0,c1ccc(C2CCCN3CCc4c([nH]c5ccccc45)C23)cc1,Scientific Literature,Inhibition of binding to human D1 receptor expressed in HEK 293 cells by functional calcium assay,F,Homo sapiens,,J Med Chem,2006.0,Dopamine D1 receptor,Ki,nM,,302.42,4.64
CHEMBL70565,100000.0,CCCN1CCO[C@@H]2c3cc(O)ccc3OC[C@H]21,Scientific Literature,Displacement of [3H]-SCH23390 from human D1 receptor expressed in HEK293 cells after 60 mins by microbeta counting based assay,B,Homo sapiens,,ACS Med Chem Lett,2020.0,Dopamine D1 receptor,Ki,nM,,249.31,1.94
CHEMBL363124,5754.4,c1ccc2c(N3CCN(CCc4ccc5[nH]nnc5c4)CC3)cccc2c1,Scientific Literature,Binding affinity against Dopamine receptor D1,B,,,Bioorg Med Chem Lett,2004.0,Dopamine D1 receptor,Ki,nM,5.24,357.46,3.48
CHEMBL608530,1963.0,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,Scientific Literature,Binding affinity towards human D1 dopamine receptor was determined by using [3H]-SCH- 23390 as radioligand,B,Homo sapiens,,Bioorg Med Chem Lett,2004.0,Dopamine D1 receptor,Ki,nM,5.71,386.59,4.9
CHEMBL4063145,3800.0,O=C1COc2c(N3CCN(CCCCOc4ccn5ncc(/C=N/O)c5c4)CC3)ccc(O)c2N1,Scientific Literature,Displacement of [3H]SCH23390 from human D1R expressed in HEK293T cell membranes,B,Homo sapiens,,Bioorg Med Chem,2017.0,Dopamine D1 receptor,Ki,nM,5.42,480.53,2.16
CHEMBL845,80.0,Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,Scientific Literature,Antagonist activity at human D1 receptor expressed in CHO cells assessed as inhibition of dopamine-induced calcium accumulation,F,Homo sapiens,,Bioorg Med Chem Lett,2021.0,Dopamine D1 receptor,Ki,nM,7.1,312.8,3.38
CHEMBL380464,6.8,CN1CCc2ccccc2Cc2c(ccc(O)c2Cl)CC1,Scientific Literature,Inhibition of D1 dopamine receptor in HEK 293 cells by intracellular calcium assay,F,Homo sapiens,,J Med Chem,2006.0,Dopamine D1 receptor,Ki,nM,8.17,301.82,3.67
CHEMBL5402269,20.0,CCCOc1cc2c(cc1O)[C@@H]1Cc3c(Br)cc(O)c(OCCC)c3CN1CC2,Scientific Literature,Displacement of [3H]SCH-23390 from human dopamine D1 receptor assessed as inhibition constant,B,Homo sapiens,,J Med Chem,2023.0,Dopamine D1 receptor,Ki,nM,7.7,462.38,5.09
CHEMBL3344456,26.33,CCc1cc2c(s1)C[C@H]1c3cc(O)c(OC)cc3CCN1C2,Scientific Literature,Displacement of [3H]SCH23390 from D1 receptor (unknown origin) transfected in HEK293T cells after 50 mins by liquid scintillation counting analysis,B,Homo sapiens,,Bioorg Med Chem,2014.0,Dopamine D1 receptor,Ki,nM,7.58,315.44,3.68
CHEMBL3344466,66.21,COc1cc2c(cc1O)[C@@H]1Cc3sc(CC4CC4)cc3CN1CC2,Scientific Literature,Displacement of [3H]SCH23390 from D1 receptor (unknown origin) transfected in HEK293T cells after 50 mins by liquid scintillation counting analysis,B,Homo sapiens,,Bioorg Med Chem,2014.0,Dopamine D1 receptor,Ki,nM,7.18,341.48,4.07
CHEMBL321223,16.0,CN1CCc2cc(Br)c(O)cc2C(c2ccc(N/C(S)=N/c3ccc4c(c3)C(=O)OC43c4ccc(O)cc4Oc4cc(O)ccc43)cc2)C1,Scientific Literature,Binding affinity against dopamine receptor D1 by using [3H]-SCH- 23390 as radioligand in caudate-putamen of monkey,B,Cercopithecidae,Caudate-putamen,J Med Chem,1991.0,Dopamine D1 receptor,Ki,nM,7.8,736.64,7.78
CHEMBL3325909,1000.0,CC(=O)Nc1cc2c(cc1O)C(c1ccccc1)CN(C)CC2,Scientific Literature,Displacement of [3H]SCH23390 from human dopamine D1 receptor expressed in HEK293 cell membranes by liquid scintillation counting based competition binding assay,B,Homo sapiens,,Eur J Med Chem,2014.0,Dopamine D1 receptor,Ki,nM,,310.4,2.97
CHEMBL3325917,1000.0,CN1CCc2cc(O)c(CO)cc2C(c2ccccc2)C1,Scientific Literature,Displacement of [3H]SCH23390 from human dopamine D1 receptor expressed in HEK293 cell membranes by liquid scintillation counting based competition binding assay,B,Homo sapiens,,Eur J Med Chem,2014.0,Dopamine D1 receptor,Ki,nM,,283.37,2.5
CHEMBL3325923,1000.0,CN1CCc2cc3oc(=O)[nH]c3cc2C(c2ccccc2)C1,Scientific Literature,Displacement of [3H]SCH23390 from human dopamine D1 receptor expressed in HEK293 cell membranes by liquid scintillation counting based competition binding assay,B,Homo sapiens,,Eur J Med Chem,2014.0,Dopamine D1 receptor,Ki,nM,,294.35,2.74
CHEMBL3325926,1000.0,CN1CCN(c2nc3cc4c(cc3o2)CCN(C)CC4c2ccccc2)CC1,Scientific Literature,Displacement of [3H]SCH23390 from human dopamine D1 receptor expressed in HEK293 cell membranes by liquid scintillation counting based competition binding assay,B,Homo sapiens,,Eur J Med Chem,2014.0,Dopamine D1 receptor,Ki,nM,,376.5,3.2
CHEMBL216258,2.8,CN1CCCc2ccccc2Cc2[nH]c3ccccc3c2CC1,Scientific Literature,Activity at human D1 dopamine receptor expressed in HEK293 cells by calcium fluorescence assay,F,Homo sapiens,,J Med Chem,2006.0,Dopamine D1 receptor,Ki,nM,8.55,304.44,4.18
CHEMBL424294,670.0,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3s2)CC1,Scientific Literature,Binding affinity for porcine Dopamine receptor D1 by [3H]-SCH- 23390 displacement.,B,,,J Med Chem,2002.0,Dopamine D1 receptor,Ki,nM,6.17,423.58,4.24
CHEMBL203362,516.0,O=c1[nH]c2[nH]c(-c3ccccc3)cc2c(=O)n1CCN1CCN(c2ccccc2Cl)CC1,Scientific Literature,Binding affinity to dopamine D1 receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2006.0,Dopamine D1 receptor,Ki,nM,6.29,449.94,3.16
CHEMBL142020,1500.0,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccn3n2)CC1,Scientific Literature,Binding affinity for porcine Dopamine receptor D1 by [3H]-SCH- 23390 displacement.,B,,,J Med Chem,2002.0,Dopamine D1 receptor,Ki,nM,5.82,407.52,2.68
CHEMBL203734,34.0,COc1c(Cl)cc2c(c1Cl)Cc1ccccc1CCN(C)CC2,Scientific Literature,Inhibition of D1 dopamine receptor in HEK 293 cells by intracellular calcium assay,F,Homo sapiens,,J Med Chem,2006.0,Dopamine D1 receptor,Ki,nM,7.47,350.29,4.62
CHEMBL201170,1.35,CN1CCc2ccccc2Cc2ccc(O)cc2CC1,Scientific Literature,Inhibition of D1 dopamine receptor in HEK 293 cells by intracellular calcium assay,F,Homo sapiens,,J Med Chem,2006.0,Dopamine D1 receptor,Ki,nM,8.87,267.37,3.01
CHEMBL231070,2.667,CN1CCCc2ccccc2Cc2ccc(O)cc2CC1,Scientific Literature,Displacement of [3H]SCH23390 from human cloned dopamine D1 receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2008.0,Dopamine D1 receptor,Ki,nM,8.57,281.4,3.4
CHEMBL4860528,257.04,CCCCCNC(=O)/N=C(\N)NCCCc1sc(N)nc1C,Scientific Literature,Displacement of [3H]SCH23390 from human D1 receptor stably expressed in HEK293T cells co-expressing luciferase and CEK incubated for 60 mins by scintillation counting analysis,B,Homo sapiens,,J Med Chem,2021.0,Dopamine D1 receptor,Ki,nM,6.59,326.47,1.77
CHEMBL5207281,2454.71,CCCCCNC(=O)/N=C(\N)NCCCc1nnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,Scientific Literature,Displacement of [3H]SCH23390 from human D1 receptor stably expressed in HEK293T cells co-expressing luciferase and CEK incubated for 60 mins by scintillation counting analysis,B,Homo sapiens,,J Med Chem,2021.0,Dopamine D1 receptor,Ki,nM,5.61,541.48,0.86
CHEMBL3671296,268.0,Cc1cc(Oc2nccc3n[nH]cc23)ccc1-n1c(C)nc2cnccc21,BindingDB Patent Bioactivity Data,"Receptor Binding Assay: The affinity of the compounds described herein was determined by competition binding assays similar to those described in Ryman-Rasmussen et al., Differential activation of adenylate cyclase and receptor internalization by novel dopamine D1 receptor agonists, Molecular Pharmacology 68(4):1039-1048 (2005). This radioligand binding assay used [3H]-SCH23390, a radiolabeled D1 ligand, to evaluate the ability of a test compound to compete with the radioligand when binding to a D1 receptor. D1 binding assays were performed using over-expressing LTK human cell lines. To determine basic assay parameters, ligand concentrations were determined from saturation binding studies where the Kd for [3H]-SCH23390 was found to be 1.3 nM. From tissue concentration curve studies, the optimal amount of tissue was determined to be 1.75 mg/mL per 96 well plate using 0.5 nM of [3H]-SCH23390. These ligand and tissue concentrations were used in time course studies to determine linearity and equilibrium condition.",B,,,,2014.0,Dopamine D1 receptor,Ki,nM,6.57,356.39,4.1
CHEMBL3671291,9.84,Cc1ncnc(C)c1-c1ccc(Oc2nccc3[nH]ccc23)cc1Cl,BindingDB Patent Bioactivity Data,"Receptor Binding Assay: The affinity of the compounds described herein was determined by competition binding assays similar to those described in Ryman-Rasmussen et al., Differential activation of adenylate cyclase and receptor internalization by novel dopamine D1 receptor agonists, Molecular Pharmacology 68(4):1039-1048 (2005). This radioligand binding assay used [3H]-SCH23390, a radiolabeled D1 ligand, to evaluate the ability of a test compound to compete with the radioligand when binding to a D1 receptor. D1 binding assays were performed using over-expressing LTK human cell lines. To determine basic assay parameters, ligand concentrations were determined from saturation binding studies where the Kd for [3H]-SCH23390 was found to be 1.3 nM. From tissue concentration curve studies, the optimal amount of tissue was determined to be 1.75 mg/mL per 96 well plate using 0.5 nM of [3H]-SCH23390. These ligand and tissue concentrations were used in time course studies to determine linearity and equilibrium condition.",B,,,,2014.0,Dopamine D1 receptor,Ki,nM,8.01,350.81,5.08
CHEMBL293158,446.68,CN1CCc2cc(Cl)c(O)cc2[C@H]1c1ccccc1,Scientific Literature,Binding potency of compound for Dopamine receptor D1 by displacing [3H]SCH-23390 radioligand,B,,,J Med Chem,1989.0,Dopamine D1 receptor,Ki,nM,6.35,273.76,3.62
CHEMBL593626,10000.0,Oc1ccc2c(c1)CCN1CCc3ccccc3C21,Scientific Literature,Displacement of [3H]SCH23390 from human dopamine D1 receptor expressed in CHO cells by scintillation counting,B,Homo sapiens,,Bioorg Med Chem,2009.0,Dopamine D1 receptor,Ki,nM,,251.33,2.9
CHEMBL487387,5.9,COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,Scientific Literature,Displacement of [3H]SCH23390 from human dopamine D1 receptor expressed in CHO cells by scintillation counting,B,Homo sapiens,,Bioorg Med Chem,2009.0,Dopamine D1 receptor,Ki,nM,8.23,327.38,2.77
CHEMBL610449,4748.0,CN1CCCc2cc3c(cc2-c2ccccc2CC1)OCO3,Scientific Literature,Displacement of [3H]SCH23390 from human dopamine D1 receptor expressed in CHO cells by scintillation counting,B,Homo sapiens,,Bioorg Med Chem,2009.0,Dopamine D1 receptor,Ki,nM,5.32,295.38,3.5
CHEMBL594557,10000.0,COc1ccc2c(c1)CCCN1Cc3ccccc3C21,Scientific Literature,Displacement of [3H]SCH23390 from human dopamine D1 receptor expressed in CHO cells by scintillation counting,B,Homo sapiens,,Bioorg Med Chem,2009.0,Dopamine D1 receptor,Ki,nM,,265.36,3.55
CHEMBL552611,12.0,C=CCN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1.Cl,Scientific Literature,The compound was evaluated for the dissociation constant for inhibiting the binding of [3H]-SCH- 23390 at Dopamine receptor D1,B,Canis lupus familiaris,,J Med Chem,1991.0,Dopamine D1 receptor,Ki,nM,7.92,331.84,3.27
CHEMBL600083,3.0,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(Br)c3CC[C@@H]21,Scientific Literature,Displacement of [3H]SCh23390 from dopamine D1 receptor expressed in mouse LTK cells by scintillation counting,B,,,Bioorg Med Chem Lett,2010.0,Dopamine D1 receptor,Ki,nM,8.52,392.72,4.74
