Molecule ChEMBL ID,Standard Value,Smiles
CHEMBL56519,11.0,Oc1cccc2c1CC[C@@H]1NCCC[C@@H]21
CHEMBL25359,2.4,CCCN1CCC2Cc3c(O)cccc3C[C@H]21
CHEMBL165022,20000.0,C#CC(C#C)=C1CCC(N(CCC)CCC)CC1
CHEMBL2113667,1000.0,c1ccc(CCN2[C@@H]3CC[C@H]2CC(c2c(-c4ccccc4)[nH]c4ccccc24)C3)cc1
CHEMBL4060403,0.41,O=Cc1cnn2ccc(NC(=O)CCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12
CHEMBL4063235,0.16,COc1ccccc1N1CCN(CCCCOc2ccn3ncc(C#N)c3c2)CC1
CHEMBL4091155,8.1,O=C(CCCN1CCN(c2cccc(Cl)c2Cl)CC1)Nc1ccn2nccc2c1
CHEMBL126780,23.0,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3oc2=O)CC1
CHEMBL129429,36.79,COc1ccccc1N1CCN(CCCCNC(=O)/C=C/c2ccc(C(F)(F)F)cc2)CC1
CHEMBL349034,8.5,Fc1ccc(N2CCN(CC[C@H]3CC[C@H](Nc4ncccn4)CC3)CC2)cc1
CHEMBL2368612,199.53,Cl.N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)/C=C/c3ccccc3)CC1)C2
CHEMBL1806871,2200.0,CCCN1CCc2cccc3c2[C@H]1Cc1cccc(OC(=O)NCc2ccccc2)c1-3
CHEMBL538755,2030.0,Cl.O=C1CC2(CCN(CCc3ccccc3)CC2)OC=C1c1ccccc1
CHEMBL28321,1.3,COc1ccccc1N1CCN(Cc2ccn(-c3ccccc3)c2)CC1
CHEMBL24051,370.0,Cc1c(-c2ccccc2)cnn1C1CCN(Cc2cccc(Cl)c2)CC1
CHEMBL20367,1000.0,CC1(C(=O)NCCCCN2CCN(c3ccc(Cl)cc3)CC2)CCCCC1
CHEMBL26998,90.0,CCCN(CCC)[C@@H]1CCc2cccc(O)c2C1
CHEMBL422883,354.0,O=C(NCCN(CCCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1)c1ccccc1
CHEMBL220700,141.25,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3cc(C#N)ccc3[nH]2)CC1
CHEMBL1642889,5000.0,Cl.O=S(=O)(c1ccc2ccccc2c1)c1n[nH]c2ccc(NC3CCNCC3)cc12
CHEMBL376445,10000.0,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2cc(Br)ccc2o1
CHEMBL2030636,10000.0,Fc1cccc(CCN2CCCC2)c1
CHEMBL2029916,70.7,O=C(Cc1ccccn1)Nc1ccc(CCN2CCN(c3ccccc3)CC2)cc1
CHEMBL285873,108.0,C=CCN1CC[C@H]2c3cccc(O)c3CC[C@H]21
CHEMBL327176,330.0,Cc1c(-c2ccccc2)nc(O)n1C1CCN(CCCc2ccccc2)CC1
CHEMBL104135,2037.0,CCCN(CCC)CC1CCc2sccc2C1
CHEMBL26471,317.0,CN1CCc2ccc3c4c2[C@H]1Cc1cccc(c1-4)C3=O
CHEMBL302393,263.03,CN1Cc2cc(Cl)c(O)cc2[C@H](c2ccccc2)C1
CHEMBL418854,13.2,COc1ccccc1N1CCC(CNCC2COc3ccc(Cl)cc3O2)CC1
CHEMBL1813598,7.3,COc1ccccc1N1CCN(CCCCCOc2ccc3c(c2)NC(=O)CC3)CC1.O=C(O)C(=O)O
CHEMBL310843,3400.0,Clc1ccc(N2CCN(Cc3cc4ccccn4n3)CC2)cc1
CHEMBL423632,374.0,O=C(c1cccc(CN2CCc3c([nH]c4ccccc34)C2)c1)N1CCCCC1
CHEMBL2032049,3160.0,C[C@H]1c2c([nH]c3ccc(C(F)(F)F)cc23)C[C@H]2CCN(CCC3(C(=O)O)CCCCC3)C[C@@H]21
CHEMBL1940409,211.0,Fc1ccc(SCCCN2CCN(c3ccc(Cl)cc3)CC2)cc1
CHEMBL1940416,424.0,Fc1ccc(SCCCN2CCN(c3ncccn3)CC2)cc1
CHEMBL54,1.4,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
CHEMBL150161,489.4,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)C1)c1ccc(F)cc1
CHEMBL1813592,25.3,COc1ccc(N2CCN(CCCCOc3ccc4c(c3)NC(=O)CC4)CC2)c(OC)c1.O=C(O)C(=O)O
CHEMBL2031876,10000.0,C[C@@H]1CCCN1C(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1
CHEMBL59725,3600.0,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1
CHEMBL329702,1000.0,CS(=O)(=O)Oc1ccc2c(c1)CC[C@H]1[C@H]2CCN1CCCCNC(=O)c1ccc(-c2ccccc2)cc1
CHEMBL85606,398.11,N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)C2
CHEMBL85,1.4,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
CHEMBL4759759,1000.0,O=C(c1ccc(Cl)c(Cl)c1)N1CCC(F)(CNCCOc2cccc(Cl)c2)CC1
CHEMBL4755058,1000.0,CC(=O)Nc1cccc(OCCNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)c1
CHEMBL4878501,723.0,O=C(NCCCCN1CCO[C@@H]2c3ccccc3OC[C@H]21)c1ccc2ccccc2c1
CHEMBL4848907,853.0,O=C(NCCCCN1CCO[C@@H]2c3ccccc3OC[C@H]21)c1ccco1
CHEMBL302796,606.0,O=C(NCCCN1CCN(c2ccccc2)CC1)C1c2ccccc2-c2ccccc21
CHEMBL2016627,1.349,O=C(CCCCCCC(=O)NCCCN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1)NCCCN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
CHEMBL1834234,1000.0,CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1N=CCC1c1ccccc1
CHEMBL295094,2420.0,O=C(NCN1CCN(c2ccccc2Cl)CC1)c1cccc(Cl)c1
CHEMBL4748201,270.0,CCCN(CCCCNC(=O)c1ccc(-c2ccc(OCc3cn(CCOCCOCCOCCn4cc(COc5ccc(-c6ccc(C(=O)NCCCCN(CCC)C7Cc8ccccc8C7)cc6)cc5)nn4)nn3)cc2)cc1)C1Cc2ccccc2C1
CHEMBL4755336,48.0,CCCN(CCCCc1cn(CCOCCOCCOCCOCCOCCn2cc(CCCCN(CCC)C3Cc4ccccc4C3)nn2)nn1)C1Cc2ccccc2C1
CHEMBL282375,3650.0,CC(=O)N[C@@H]1c2cccc3c2-c2c1ccc1c2[C@@H](C3)N(C)CC1
CHEMBL2030624,10000.0,COc1ccc(CN2C3CCC2CC3)cc1OC
CHEMBL109684,0.5,CCCN(CCc1ccccc1)C1CCc2c(O)cccc2C1
CHEMBL187122,1200.0,O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(-c2ccsc2)cc1
CHEMBL183423,1000.0,C[C@H](Nc1cc(NCCOc2ccc(F)cc2)ccn1)c1ccccc1
CHEMBL28056,498.0,Cc1cccc(C#N)c1-c1cccc2c1-c1cccc3c1[C@@H](C2)N(C)CC3
CHEMBL300780,217.0,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2
CHEMBL85606,1000.0,N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)C2
CHEMBL196169,10000.0,COc1ccc(NC(=O)N2CCN(c3ccccc3F)CC2)cc1N1CCN(C)CC1
CHEMBL59725,64.7,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1
CHEMBL371289,21.0,CC1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21
CHEMBL198599,35.0,Cc1cc(CCN2CCN(c3noc4ccccc34)CC2)c2c(c1)C(C)CC(=O)N2
CHEMBL194312,59.0,CC1(C)CCNc2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21
CHEMBL197663,17.0,CC(=O)N1CCC(C)c2c(C)ccc(CCN3CCN(c4noc5ccccc45)CC3)c21
CHEMBL553810,1522.0,Cl.O=[N+]([O-])c1cccc(-c2cc(CCCCN3CCN(C(c4ccccc4)c4ccccc4)CC3)on2)c1
CHEMBL218444,109.65,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3cc(Br)ccc3[nH]2)CC1
CHEMBL346692,3090.3,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2[nH]1
CHEMBL140612,3.9,COc1ccccc1N1CCN(CCCNC(=O)c2cnn3ccccc23)CC1
CHEMBL184993,48.0,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3cc(I)ccc3s2)CC1
CHEMBL1684130,293.0,CCCN1CCc2cccc3c2[C@@H]1Cc1cccc(OCc2cn(CCCCN4CCN(c5ccccc5OC)CC4)nn2)c1-3
CHEMBL77563,10000.0,Clc1ccccc1N1CCN(Cc2nc3ccccc3[nH]2)CC1
CHEMBL54,5.012,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
CHEMBL323022,5247.0,CC1Cc2ccccc2N1C(=O)CN1CCN(CCc2ccc(Cl)cc2)CC1
CHEMBL164185,15.0,Nc1ccccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCCS3
CHEMBL180010,93.3,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1
CHEMBL40584,350.0,c1ccc(CCN2CCC(c3c(-c4ccccc4)[nH]c4ccccc34)CC2)cc1
CHEMBL441274,187.0,O=C(CN1CCN(Cc2ccc(Cl)cc2)CC1)N1c2ccccc2CC12CCCC2
CHEMBL553503,310.0,Br.Oc1cc2c(c(Cl)c1O)CCNCC2c1ccccc1
CHEMBL553503,8000.0,Br.Oc1cc2c(c(Cl)c1O)CCNCC2c1ccccc1
CHEMBL541025,418.0,COc1ccc(-c2cc(CCCCN3CCN(c4ccccc4OC)CC3)on2)cc1OC.Cl
CHEMBL1946257,1983.0,O=C(CCCCN1CCCN(c2ccc(Cl)cc2)CC1)c1nc2ccccc2s1
CHEMBL27559,114.0,CCCN1CCc2cccc3c2[C@H]1Cc1cccc(O)c1-3
CHEMBL311730,3884.0,CCCN1CCC[C@@H](c2cccc(S(C)(=O)=O)c2)C1
CHEMBL80711,280.0,COc1ccccc1N1CCN(CCCNC2=Nc3ccccc3OC2)CC1.O=C(O)/C=C/C(=O)O
CHEMBL59702,8650.0,c1ccc(CN2CCC(NCc3coc(-c4ccccc4)n3)CC2)cc1
CHEMBL21119,630.96,O=C(NCCCCN1CCN(c2ccc(Cl)cc2)CC1)C12CC3CC(CC(C3)C1)C2
CHEMBL112268,7.943,CCN(Cc1cccc(C)c1)Cc1ccc(-c2cc(S(=O)(=O)CC)ccc2OC)[nH]1
CHEMBL71599,43.8,CCCN(Cc1ccc(F)cc1)[C@@H]1CCc2c(cccc2OC)C1
CHEMBL334529,630.96,CCCN(CCC)C1CCc2cc(CS(=O)(=O)c3ccc(OC)cc3)ccc2C1
CHEMBL338496,630.96,CCCN(CCC)C1CCc2cc(CN(C(C)=O)c3ccc(OC)cc3)ccc2C1
CHEMBL71,1.8,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
CHEMBL2443001,4700.0,COc1ccccc1N1CCN(Cc2cn(CCOCCOCCOCCF)nn2)CC1
CHEMBL58296,160.0,Clc1ccc(CN2CCC(c3cc(-c4ccc(Cl)cc4)on3)CC2)cc1
CHEMBL241424,190.0,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(C#Cc3ccccc3)cc2)CC1
CHEMBL133085,10.8,CCCN(C/C=C/I)C1COc2c(O)cccc2C1
CHEMBL3085812,354.81,CC(C)(C)OC(=O)N[C@H]1CC[C@H](CN2CCc3ccccc3C2)CC1
CHEMBL3353906,272.0,COc1ccccc1N1CCN(CCCc2cn(-c3ccccc3OC)nn2)CC1
CHEMBL3353901,94.3,COc1ccccc1N1CCN(CCCCc2cn(-c3ccc(-c4ccsc4)cc3)nn2)CC1
CHEMBL3353895,30.9,COc1ccccc1N1CCN(CCCCc2cn(-c3ccccc3)nn2)CC1
CHEMBL239733,51.0,C#Cc1cccc(C(=O)NCCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1
CHEMBL539521,152.0,Cl.O=C(CCCN1CCCC2(C1)OC(c1ccccc1)=CC2=O)c1ccc(F)cc1
