Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL322873,11748.98,CC1CCCN(CCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,Scientific Literature,Binding affinity to the human cortical histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,4.93,334.46,4.73
CHEMBL106483,38018.94,N#Cc1ccc(-c2ccc(OCCCN3CCOCC3)cc2)cc1,Scientific Literature,Binding affinity to the human cortical histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,4.42,322.41,3.33
CHEMBL2031874,55000.0,CN(C)C(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,Scientific Literature,Binding affinity to H2 receptor,B,,,J Med Chem,2012.0,Histamine H2 receptor,Ki,nM,,391.52,3.15
CHEMBL3139682,100.0,Nc1ccc2ccc(CCNCCc3cccc(Cl)c3)cc2n1,Scientific Literature,Displacement of [3H]Tiotidine from human H2 receptor expressed in HEK cells after 90 mins by scintillation counting method,B,Homo sapiens,,J Med Chem,2017.0,Histamine H2 receptor,Ki,nM,,325.84,3.85
CHEMBL305929,3162.28,S=C(NCCCCCc1c[nH]cn1)NCCc1ccccc1,Scientific Literature,Displacement of [125 I]iodoaminopotentidine bound to membranes of CHO cells expressing human H2 receptors,B,Homo sapiens,,J Med Chem,1995.0,Histamine H2 receptor,Ki,nM,5.5,316.47,2.83
CHEMBL107293,380.0,Cc1ccc(S(=O)(=O)N[C@H]2CCN(CCCOc3ccc(C(=O)C4CC4)cc3)C2)cc1,Scientific Literature,Binding affinity to the human Histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,6.42,442.58,3.41
CHEMBL105483,100000.0,CCOC(=O)N1CCN(CCCOc2ccc(-c3ccc(OC)cc3)cc2)CC1,Scientific Literature,Binding affinity to the human cortical histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,4.0,398.5,3.91
CHEMBL303737,20417.38,N[C@H](CC1CCCCC1)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,Scientific Literature,Binding affinity towards Histamine H2 receptor from human membranes,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,4.69,441.62,3.49
CHEMBL63036,18620.87,CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)c3ccccn3)CC2)cc1,Scientific Literature,Binding affinity for the human Histamine H2 receptor,B,,,Bioorg Med Chem Lett,2002.0,Histamine H2 receptor,Ki,nM,4.73,423.56,4.07
CHEMBL2432044,10000.0,CN(CCc1ccccc1)[C@H]1C2C3CC4C2C(=O)C2C4C3C21,Scientific Literature,Inhibition of histamine H2 receptor (unknown origin) by PDSP assay,B,Homo sapiens,,Bioorg Med Chem,2013.0,Histamine H2 receptor,Ki,nM,,293.41,2.49
