Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL168707,363.08,CC(C1=C(CCN(C)C)Cc2ccc(Cl)cc21)c1ccccn1,Scientific Literature,Binding affinity towards cloned human muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells using [3H]N-methylscopolamine,B,,,J Med Chem,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.44,326.87,4.8
CHEMBL21509,12589.25,CN(C)CCC1=C/C(=C\c2ccccn2)c2ccccc21,Scientific Literature,Affinity for Muscarinic acetylcholine receptor M2 expressed in CHO cells by [3H]NMS displacement.,B,,,Bioorg Med Chem Lett,2001.0,Muscarinic acetylcholine receptor M2,Ki,nM,4.9,276.38,3.97
CHEMBL71483,1000.0,CC(C)(N)CC1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,Scientific Literature,Binding affinity against human muscarinic acetylcholine receptor M2 in transfected CHO cells,B,,,Bioorg Med Chem Lett,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.0,394.51,3.68
CHEMBL93017,0.823,CCCS(=O)(=O)N1CCC(N2CCC(C3(c4ccc([S+]([O-])c5ccc6c(c5)OCO6)cc4)OCCO3)CC2)CC1,Scientific Literature,Binding affinity at human cloned acetylcholine receptor M2 in CHO cells.,B,,,Bioorg Med Chem Lett,2000.0,Muscarinic acetylcholine receptor M2,Ki,nM,9.09,590.76,3.7
CHEMBL12098,0.89,Cc1cccc(C(=O)N2CCC(N3CCC(Cc4ccc(S(=O)(=O)c5cccc(Cl)c5)cc4)CC3)CC2)c1N,Scientific Literature,Binding affinity against muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells using [3H]-QNB as radioligand.,B,,,Bioorg Med Chem Lett,2002.0,Muscarinic acetylcholine receptor M2,Ki,nM,9.05,566.17,5.62
CHEMBL292574,40.0,c1cnc(O[C@@H]2CN3CCC2C3)cn1,Scientific Literature,Binding affinity towards human muscarinic M2 receptor,B,,,Bioorg Med Chem Lett,1999.0,Muscarinic acetylcholine receptor M2,Ki,nM,7.4,191.23,0.56
CHEMBL355854,4.3,C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](CC[C@H]3CCC[C@H](C)N3C)[C@@H]12,Scientific Literature,In vitro inhibitory activity against cloned human M2 muscarinic receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2004.0,Muscarinic acetylcholine receptor M2,Ki,nM,8.37,347.54,4.64
CHEMBL38756,9700.0,C[C@H]1OCC2(CN3CCC2CC3)O1,Scientific Literature,Compound was evaluated for its binding affinity against muscarinic acetylcholine receptor M2 in guinea pig heart using (-)-[3H]-QNB as radioligand,B,Cavia porcellus,,J Med Chem,1992.0,Muscarinic acetylcholine receptor M2,Ki,nM,5.01,183.25,0.84
CHEMBL150624,2.7,CC(=C1CCN(C2CCN(C(=O)c3ccc(F)c4ccccc34)CC2)CC1)c1ccc([S+]([O-])C(C)C)cc1,Scientific Literature,Binding affinity for human Muscarinic acetylcholine receptor M2,B,Homo sapiens,,J Med Chem,2002.0,Muscarinic acetylcholine receptor M2,Ki,nM,8.57,532.73,6.67
CHEMBL71147,0.17,C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCCCC2)CC1,Scientific Literature,Binding affinity against Muscarinic acetylcholine receptor M2,B,,,Bioorg Med Chem Lett,2000.0,Muscarinic acetylcholine receptor M2,Ki,nM,9.77,439.62,5.59
CHEMBL95,5800.0,Nc1c2c(nc3ccccc13)CCCC2,Scientific Literature,Binding affinity against mouse Muscarinic acetylcholine receptor M2 using heart tissue and [3H]N-methylscopolamine,F,Mus musculus,,J Med Chem,1992.0,Muscarinic acetylcholine receptor M2,Ki,nM,5.24,198.27,2.7
CHEMBL2031737,681.0,C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccc([N+](=O)[O-])cc3)ccc2o1,Scientific Literature,Binding affinity to human recombinant M2 receptor,B,Homo sapiens,,J Med Chem,2012.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.17,378.43,4.6
CHEMBL82301,10000.0,COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C,Scientific Literature,Antagonistic activity against Muscarinic acetylcholine receptor M2,F,,,J Med Chem,2004.0,Muscarinic acetylcholine receptor M2,Ki,nM,,533.64,4.5
CHEMBL163887,2.5,CCNC(=O)N1CCC(N2CCN([C@@H](C)c3ccc(S(=O)(=O)c4ccc5c(c4)OCO5)cc3)[C@H](C)C2)CC1,Scientific Literature,Binding affinity against human cloned Muscarinic acetylcholine receptor M2.,B,,,Bioorg Med Chem Lett,2002.0,Muscarinic acetylcholine receptor M2,Ki,nM,8.6,542.7,3.51
CHEMBL335542,0.1259,CN1CCC=C(c2nsnc2OCCOCCOCCOCCOc2nsnc2C2=CCCN(C)C2)C1,Scientific Literature,Compound was tested for binding inhibition of [3H](R)-QNB to Muscarinic acetylcholine receptor M2 expressed in A9 L cells,B,,,J Med Chem,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,9.9,552.72,2.33
CHEMBL353290,112.2,CC(C1=C(CCN(C)C)Cc2ccc(F)cc21)c1ccccn1,Scientific Literature,Binding affinity towards cloned human muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells using [3H]N-methylscopolamine,B,,,J Med Chem,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.95,310.42,4.29
CHEMBL355769,144.54,CC(C1=C(CCN(C)C(C)C)Cc2ccccc21)c1ccccn1,Scientific Literature,Binding affinity towards cloned human muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells using [3H]N-methylscopolamine,B,,,J Med Chem,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.84,320.48,4.93
CHEMBL302809,210.0,CC1(CCN)CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,Scientific Literature,Binding affinity against human muscarinic acetylcholine receptor M2 in transfected CHO cells,B,,,Bioorg Med Chem Lett,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.68,380.48,3.29
CHEMBL68609,640.0,CC1(N)CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,Scientific Literature,Binding affinity against human muscarinic acetylcholine receptor M2 in transfected CHO cells,B,,,Bioorg Med Chem Lett,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.19,352.43,2.65
CHEMBL2426673,912.01,COc1ccc(CC(=O)N2CCC3(CC2)CN([C@H](c2ccc(-c4ncccn4)cc2)C(C)C)C3)nc1,Scientific Literature,Displacement of N-methyl [3H]-scopolamine from recombinant human muscarinic acetylcholine receptor M2 expressed in CHO cells after 2 hrs by liquid scintillation counting,B,Homo sapiens,,Bioorg Med Chem Lett,2013.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.04,485.63,4.41
CHEMBL2426671,2398.83,COc1ccc(CC(=O)N2CCC3(CC2)CN(C(C)c2ccc(-c4ncccn4)cc2)C3)nc1,Scientific Literature,Displacement of N-methyl [3H]-scopolamine from recombinant human muscarinic acetylcholine receptor M2 expressed in CHO cells after 2 hrs by liquid scintillation counting,B,Homo sapiens,,Bioorg Med Chem Lett,2013.0,Muscarinic acetylcholine receptor M2,Ki,nM,5.62,457.58,3.78
CHEMBL90700,0.031,CCCS(=O)(=O)N1CCC(N2CCC(C3(c4ccc(S(=O)(=O)c5ccc6c(c5)OCO6)cc4)SCCS3)CC2)CC1,Scientific Literature,Binding affinity at human cloned acetylcholine receptor M2 in CHO cells.,B,,,Bioorg Med Chem Lett,2000.0,Muscarinic acetylcholine receptor M2,Ki,nM,10.51,638.9,4.8
CHEMBL233202,12.0,CN(C)C1(CNCCC2=CCSCC2)COc2ccccc2OC1,Scientific Literature,Displacement of 1-[N-methyl- 3H]scopolamine from human muscarinic M2 receptor expressed in Sf9 cells,B,Homo sapiens,,Bioorg Med Chem Lett,2007.0,Muscarinic acetylcholine receptor M2,Ki,nM,7.92,348.51,2.8
CHEMBL517712,2.512,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,Scientific Literature,"Displacement of 4-(2-((1E,3E)-5-((E)-3,3-Dimethyl-1-(6-oxo-6-((2-(4-(4-(1-(2-oxo-2-(11-oxo-10,11-dihydro-5H-dibenzo[b,e][1,4]diazepin-5-yl)ethyl)piperidin-4-yl)butyl)piperazin-1-yl)ethyl)amino)hexyl)-5-sulfoindolin-2-ylidene)penta-1,3-dien-1-yl)-3,3-dimethyl-3H-indol-1-ium-1-yl)butane-1-sulfonate Bis(hydrotrifluoroacetate) fluorescent tracer from human muscarinic M2 receptor expressed in CHO-K9 cells by FACSCalibur flow cytometry",B,Homo sapiens,,J Med Chem,2020.0,Muscarinic acetylcholine receptor M2,Ki,nM,8.6,289.38,1.93
CHEMBL363895,180.0,C[C@@H]1OC(=O)[C@H]2C=C3CCCC[C@@H]3[C@@H]([C@@H]3CC4CCC(C)(C)[N+]4(C)O3)[C@@H]12.[I-],Scientific Literature,In vitro inhibitory activity against cloned human M2 muscarinic receptor,B,Homo sapiens,,Bioorg Med Chem Lett,2004.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.75,487.42,4.0
CHEMBL295388,0.3162,CCN(CC)CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c3ccccc32)CC1,Scientific Literature,Displacement of [3H]-NMS from human muscarinic M2 receptor expressed in CHO cell membranes assessed as inhibition constant by radioligand competition analysis,B,Homo sapiens,,Eur J Med Chem,2021.0,Muscarinic acetylcholine receptor M2,Ki,nM,9.5,462.64,5.14
CHEMBL287671,10000.0,c1ccc(-c2ccc(N3CCN(Cc4c[nH]c5ncccc45)CC3)cc2)cc1,Scientific Literature,Binding affinity to cloned Muscarinic acetylcholine receptor M2,B,,,Bioorg Med Chem Lett,2001.0,Muscarinic acetylcholine receptor M2,Ki,nM,,368.48,4.55
CHEMBL443780,23.4,CCN(CC)CCOC(=O)C(C)(c1ccccc1)C1CCCCC1,Scientific Literature,Antimuscarinic potency and subset specificity was characterised by its inhibition of the [3H]NMS Binding to Muscarinic acetylcholine receptor M2 subtype,B,,,J Med Chem,1992.0,Muscarinic acetylcholine receptor M2,Ki,nM,7.63,331.5,4.41
CHEMBL353689,138.8,CCCS(=O)(=O)N1CCC(N2CCC(Oc3ccc(S(=O)(=O)c4ccc(OC)cc4)cc3)CC2)CC1,Scientific Literature,Binding affinity towards Muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells using [3H]-QNB as radioligand,B,,,Bioorg Med Chem Lett,2001.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.86,536.72,3.58
CHEMBL311795,575.0,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1,Scientific Literature,Binding affinity towards muscarinic receptor M2,B,,,Bioorg Med Chem Lett,2003.0,Muscarinic acetylcholine receptor M2,Ki,nM,6.24,503.61,4.87
CHEMBL55698,1737.8,C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C\[C@H]3CCC[C@H](C)N3C)[C@@H]12,Scientific Literature,Binding affinity against human muscarine receptor (hM2) cloned in CHO cells,B,Homo sapiens,,Bioorg Med Chem Lett,2002.0,Muscarinic acetylcholine receptor M2,Ki,nM,5.76,345.53,4.42
