Molecule ChEMBL ID,Standard Value,Smiles
CHEMBL61861,10000.0,CN(CC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1)CC(=O)[O-].[Li+]
CHEMBL1824785,10000.0,Cl.Fc1cccc(CN2C3CC4CC(C3)CC2C4)c1
CHEMBL41996,257.0,CC1=C(C(=O)NCCCN2CCC(C#N)(c3ccccn3)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1C
CHEMBL56,1757.0,CCCN(CCC)C1CCc2cccc(O)c2C1
CHEMBL91405,0.39,CC1=C(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)NC(=O)N1
CHEMBL180312,59.0,CCOC(=O)C1CCC(=O)N1CC(=O)CCN1CCN(c2ccccc2OC(C)C)CC1
CHEMBL276932,1.259,CCC1=NC(CC)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C(c2ccc([N+](=O)[O-])cc2)/C1=C(\O)OC
CHEMBL13903,0.868,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3sc(-c4ccccc4)cc3c2=O)CC1
CHEMBL95263,127.0,CCCCCC1=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C(c2ccc([N+](=O)[O-])cc2)C(C(=O)NCC)=C(CC)N1
CHEMBL200366,1.995,COc1cccc(OC)c1OCCNCCOc1ccccc1OCc1ccc(C)cc1
CHEMBL179721,9.5,Nc1ccc(C(=O)NCCN2CCC(c3cccc4[nH]ccc34)CC2)cc1
CHEMBL98241,294.0,C[C@H](CN1CCN(c2cc(F)c(F)cc2F)CC1)N1C(=O)CC2(CCCC2)CC1=O
CHEMBL179334,0.18,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)[C@H]1c1ccc([N+](=O)[O-])cc1
CHEMBL282214,4.4,COc1ccc(CCNCC2CCc3ccccc3C2)cc1
CHEMBL359012,0.2,COC(=O)C1=C(C)NC(=O)N(C(=O)NCCCN2CCC3(CC2)OCCc2ccccc23)C1c1ccc(F)c(F)c1
CHEMBL357628,0.7,CCC1=C(C(N)=O)C(c2ccc(F)cc2F)N(C(=O)NCCCN2CCC(C#N)(c3ccccc3)CC2)C(=O)N1
CHEMBL356571,6.9,COC(=O)C1=C(C)NC(=O)N(C(=O)NCCCN2CCC(c3ccc(Cl)cc3)(c3ccc(Cl)cc3)CC2)C1c1ccc(F)c(F)c1
CHEMBL123448,58.0,CCc1sc2ccc(Cl)c3c2c1CN(C)CC3
CHEMBL242725,48.98,COc1cc2nc(N3CCN(C(=O)c4ccccn4)[C@H]4CCCC[C@H]43)nc(N)c2cc1OC
CHEMBL242508,27.54,COc1ccc(C(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)[C@@H]3CCCC[C@@H]32)o1
CHEMBL145459,0.2,COC(=O)C1=C(C)NC(=O)N(C(=O)NCCCN2CCC(c3ccccc3)CC2)C1c1ccc(F)c(F)c1
CHEMBL424658,19.38,COc1cc2nc(N3CCN(C(=O)CCC(=O)c4ccccc4)CC3)nc(N)c2cc1OC
CHEMBL136458,1112.8,COc1cc2nc(N3CCN(C(=O)C(C)Oc4c(OC)cccc4C(C)C)CC3)nc(N)c2cc1OC
CHEMBL299984,35.0,COC(=O)C1(c2ccccc2)CCN(CCCNC(=O)N2C(=O)NC3=C(C(=O)OC3)C2c2ccc3c(c2)OCO3)CC1
CHEMBL316100,0.17,N#CC1(c2ccc(F)cc2)CCN(CCCNC(=O)C2=CNC(=O)N[C@@H]2c2ccc(F)c(F)c2)CC1
CHEMBL274529,417.0,CC(C)Oc1ccccc1N1CCN(CC(=O)CC(=O)CN2CCCCC2=O)CC1
CHEMBL137903,1.59,COc1cc2nc(N3CCN(C(=O)CC(c4ccccc4)c4ccccc4)CC3)nc(N)c2cc1OC
CHEMBL89685,1.175,CC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1
CHEMBL49851,5.93,Cn1nc(Cl)c2cn3nc(NCCN4CCN(c5ccccc5Cl)CC4)ccc3c2c1=O
CHEMBL80132,18.56,COc1ccccc1N1CCN(CCNc2cc(C)nn(C)c2=O)CC1
CHEMBL1083182,20.89,COc1ccccc1OCCNCC1CSC(c2ccccc2)(c2ccccc2)O1
CHEMBL1086156,35.48,COc1ccccc1OCCNCC1CSC(c2ccccc2)(c2ccccc2)S1
CHEMBL5483012,0.4,COC(=O)C1=C(C)NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc([N+](=O)[O-])cc1.Cl
CHEMBL256041,11.0,CC(C)Oc1ccccc1N1CCN(C2CCC(NC(=O)NCc3cccc(F)c3)CC2)CC1
CHEMBL141322,1.0,COC(=O)C1=C(C)N=C(C)N(CCCCCN2CCC(C(=O)OC)(c3ccccc3)CC2)C1c1ccc(F)c(F)c1
CHEMBL295304,8.8,Cc1ccc(C(C(=O)NCCCN2CCC(c3ccccc3)CC2)c2ccc(C)cc2)cc1
CHEMBL96467,0.17,C[C@@H]1OC(=O)N(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@H]1c1ccc(F)c(F)c1
CHEMBL24981,2.0,COc1ccc(Cl)cc1N1CCN(CCCNc2nccc(C(N)=O)n2)CC1
CHEMBL289339,6.4,Cc1ccccc1C1(C#N)CCN(CCCNC(=O)C(c2ccc(Cl)cc2)C(C)C)CC1
CHEMBL359421,0.4,COC(=O)C1=C(C)N=C(C)N(CCCCCN2CCC(c3ccccc3)CC2)C1c1ccc(F)c(F)c1
CHEMBL2234448,91.2,COc1ccccc1N1CCN(CC2COC3(CCCCC3)O2)CC1
CHEMBL243692,2.7,CC(C)Oc1ccccc1N1CCN(C2CCC(N3C(=O)c4cc(Cl)c(Cl)cc4C3=O)CC2)CC1
CHEMBL197442,0.3162,COc1cccc(OC)c1OCCNCCOc1ccccc1OCc1cccc([N+](=O)[O-])c1
