Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL2311150,1.0,CCCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2[11CH3])n(CCC)c1=O,Scientific Literature,Inhibitory activity against recombinant adenosine A2A receptor,B,Homo sapiens,,J Med Chem,2000.0,Adenosine A2a receptor,Ki,nM,9.0,411.49,2.9
CHEMBL32801,1000.0,CCCn1c(=O)c2nc(-c3cc(NC(=O)[C@@H](C)c4ccccc4)nn3C)[nH]c2n(CCC)c1=O,Scientific Literature,Binding affinity of compound for displacement of specific [3H]ZM-241385 binding at human adenosine A2A receptor expressed in CHO cells,B,,,J Med Chem,2004.0,Adenosine A2a receptor,Ki,nM,,463.54,2.85
CHEMBL2113453,1000.0,Nc1nc(/N=N/NC(=O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Scientific Literature,Binding affinity for human Adenosine A2A receptor using [3H]ZM-241385,B,Homo sapiens,,J Med Chem,2003.0,Adenosine A2a receptor,Ki,nM,6.0,414.38,-0.55
CHEMBL1834699,25200.0,COc1ccc(-c2nc3c4cn(CCc5ccccc5)nc4nc(NC(=O)c4ccccc4)n3n2)cc1,Scientific Literature,Displacement of [3H]NECA from human recombinant adenosine 2A receptor expressed in CHO cells after 3 hrs,B,Homo sapiens,,Bioorg Med Chem,2011.0,Adenosine A2a receptor,Ki,nM,4.6,489.54,4.64
CHEMBL405614,49.8,N#Cc1c(NC(=O)C2CC2)nc(-c2ccccc2)nc1-c1ccccc1,Scientific Literature,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,Homo sapiens,,Bioorg Med Chem,2008.0,Adenosine A2a receptor,Ki,nM,7.3,340.39,4.03
CHEMBL261198,574.0,CCC(CC)C(=O)Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1,Scientific Literature,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,Homo sapiens,,Bioorg Med Chem,2008.0,Adenosine A2a receptor,Ki,nM,6.24,389.46,4.91
CHEMBL183,129.0,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,Scientific Literature,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,Homo sapiens,,Bioorg Med Chem,2008.0,Adenosine A2a receptor,Ki,nM,6.89,304.39,2.36
CHEMBL263370,398.11,O=C(Nc1nc2ccccc2n2nc(-c3ccco3)nc12)c1ccco1,Scientific Literature,Displacement of [3]ZM241385 from human adenosine A2A receptor expressed in HeLa cells,B,Homo sapiens,,Bioorg Med Chem,2008.0,Adenosine A2a receptor,Ki,nM,6.4,345.32,3.38
CHEMBL258989,54.5,CCC(CC)C(=O)Nc1nc(-c2ccccc2)c(C#N)c(-c2ccccc2)n1,Scientific Literature,Displacement of [3H]ZM-241385 from human adenosine A2A receptor expressed in HEK293 cells,B,Homo sapiens,,Bioorg Med Chem,2008.0,Adenosine A2a receptor,Ki,nM,7.26,370.46,5.06
CHEMBL372420,10000.0,CCOC(=O)c1cnc2nc(C)ccc2c1O,Scientific Literature,Inhibition of [3H]CGS-21680 binding to adenosine A2a receptor of bovine striatal membrane,B,Bos taurus,,Bioorg Med Chem Lett,2005.0,Adenosine A2a receptor,Ki,nM,,232.24,1.82
CHEMBL371404,1000.0,CCCn1c(=O)c2c(nc3n2CC(CC)=C3)n(Cc2ccccc2)c1=O,Scientific Literature,Inhibition of [3H]-ZM 241385 binding to human adenosine A2a receptor expressed in CHO cells,B,Homo sapiens,,J Med Chem,2005.0,Adenosine A2a receptor,Ki,nM,,350.42,2.63
CHEMBL197427,10000.0,Oc1c2nnnc-2nc2n1CCCS2,Scientific Literature,Displacement of [3H]NECA from human adenosine A2A receptor expressed in CHO cells,B,Homo sapiens,,J Med Chem,2005.0,Adenosine A2a receptor,Ki,nM,,209.23,0.37
CHEMBL198054,3000.0,CSc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,Scientific Literature,Displacement of [3H]NECA from human adenosine A2A receptor expressed in CHO cells,B,Homo sapiens,,J Med Chem,2005.0,Adenosine A2a receptor,Ki,nM,5.52,292.37,3.9
CHEMBL380770,10000.0,c1ccc2nc(-c3nc4cc[nH]cc-4n3)cnc2c1,Scientific Literature,Displacement of [3H]NECA from human adenosine A2A receptor expressed in CHO cells,B,Homo sapiens,,J Med Chem,2005.0,Adenosine A2a receptor,Ki,nM,,247.26,2.52
CHEMBL78659,1136.0,Cc1nc2nc(-c3ccccc3)[nH]c(N[C@H](CO)CC(C)C)c-2c1C,Scientific Literature,Inhibitory activity against binding of the [3H]CGS-21680 to human A2a receptor (hA2a) radioligands using competition binding assay,B,Homo sapiens,,Bioorg Med Chem Lett,1999.0,Adenosine A2a receptor,Ki,nM,5.95,338.46,4.01
CHEMBL81863,811.0,Cc1[nH]c2nc(-c3ccccc3)nc(NCc3ccncc3)c2c1C,Scientific Literature,Inhibitory activity against binding of the [3H]CGS-21680 to human A2a receptor (hA2a) radioligands using competition binding assay,B,Homo sapiens,,Bioorg Med Chem Lett,1999.0,Adenosine A2a receptor,Ki,nM,6.09,329.41,4.25
CHEMBL360280,5000.0,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccc(C(F)(F)F)cc5)no4)cc3)[nH]c2n(CCC)c1=O,Scientific Literature,Binding affinity for adenosine A2a receptor by using as [3H]ZM-241385 (2 nM) radioligand in membranes from HEK-A2A cells,B,Homo sapiens,,Bioorg Med Chem Lett,2005.0,Adenosine A2a receptor,Ki,nM,,554.53,5.02
