"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL24050";"";"None";"229.32";"0";"2.37";"12c";"C=CCN1CC[C@H]2Cc3c(O)cccc3C[C@H]21";"Ki";"'>'";"470.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL615451";"Binding affinity against 5-hydroxytryptamine 1A receptor from bovine hippocampus, used [3H]8-OH-DPAT as radioligand";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638273";"Hippocampus";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126679";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";"";"470.0"
"CHEMBL430332";"";"None";"231.34";"0";"2.91";"11a";"CCCN1CC[C@H]2c3c(O)cccc3CC[C@H]21";"Ki";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"36.84";"0.68";"5.61";"36.31";"0";"CHEMBL615451";"Binding affinity against 5-hydroxytryptamine 1A receptor from bovine hippocampus, used [3H]8-OH-DPAT as radioligand";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638273";"Hippocampus";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126679";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";"";"3.0"
"CHEMBL267769";"";"None";"257.38";"0";"2.89";"22";"COc1cccc2c1C[C@H]1CCN(CC3CC3)[C@@H]1C2";"Ki";"'='";"29.0";"nM";"7.54";"";"";"UO_0000065";"29.29";"0.54";"4.65";"60.45";"1";"CHEMBL615459";"Tested for activity against 5-hydroxytryptamine 1A receptor from bovine hippocampus";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638273";"Hippocampus";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128296";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";"";"29.0"
"CHEMBL300763";"";"None";"464.63";"1";"5.79";"9";"CC(C)Oc1cccc2sc(C3CCN(C[C@H](O)COc4cccc5[nH]ccc45)CC3)cc12";"Ki";"'='";"7.45";"nM";"8.13";"";"";"UO_0000065";"17.49";"0.34";"2.34";"14.08";"0";"CHEMBL615767";"Binding affinity towards 5-HT1A receptor using [3H]8-OH-DPAT as radioligand";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136520";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"7.45"
"CHEMBL420101";"";"None";"348.45";"0";"3.93";"3o";"Cc1ccc(C(=O)Nc2ccc3[nH]cc(C4CCN(C)CC4)c3n2)cc1";"Ki";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"21.59";"0.40";"3.59";"12.33";"0";"CHEMBL616128";"In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 1A receptor";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145835";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"30.0"
"CHEMBL155615";"";"None";"501.29";"2";"5.62";"azido-IPAPP";"[N-]=[N+]=Nc1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1I";"Ki";"'='";"17.5";"nM";"7.76";"";"";"UO_0000065";"15.47";"0.38";"2.14";"14.04";"0";"CHEMBL615453";"In vitro inhibition of [3H]5-HT (2 nM) binding to 5-HT1A receptor from bovine hippocampus";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638273";"Hippocampus";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124409";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"17.5"
"CHEMBL196140";"";"None";"444.46";"0";"2.94";"19";"CN1CCN(c2nccc3cc4c(cc23)N(C(=O)c2cnn(C)c2C(F)(F)F)CC4)CC1";"Ki";"'='";"6.31";"nM";"8.20";"";"";"UO_0000065";"18.45";"0.35";"5.26";"14.26";"0";"CHEMBL883690";"Mean binding affinity towards 5-hydroxytryptamine 1A receptor using [3H]-5-HT or [3H]8-OH-DPAT as the radioligand";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142743";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"8.2"
"CHEMBL445651";"";"None";"353.40";"0";"4.03";"11";"CN1CCC(c2noc3ccc(NC(=O)c4ccc(F)cc4)cc23)CC1";"Ki";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"19.23";"0.36";"2.77";"11.64";"0";"CHEMBL876361";"In vitro binding affinity for human 5-hydroxytryptamine 1A receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137068";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"160.0"
"CHEMBL341665";"";"None";"508.67";"1";"4.06";"14";"COc1cc2nc(N(C)CCCCCCN(C)C(=O)c3cccc(CN(C)C)c3)nc(N)c2cc1OC";"Ki";"'='";"741.31";"nM";"6.13";"";"";"UO_0000065";"12.05";"0.23";"2.07";"6.32";"0";"CHEMBL616236";"Binding affinity at human cloned 5-hydroxytryptamine 1A receptor expressed in HeLa cells by [3H]8-hydroxy-2-(di-n-propylamino)tetraline displacement.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HeLa";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131296";"1";"Scientific Literature";"J Med Chem";"1998";"CHEMBL3308376";"";"";"";"-6.13"
"CHEMBL334407";"";"None";"360.52";"0";"3.62";"62";"COc1ccccc1N1CCN(CCC(O)c2cc(C)sc2C)CC1";"Ki";"'='";"12.02";"nM";"7.92";"";"";"UO_0000065";"21.97";"0.43";"4.30";"22.04";"0";"CHEMBL1785228";"Binding affinity to 5HT1A receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1781889";"1";"Scientific Literature";"Eur J Med Chem";"2008";"None";"";"";"";"7.92"
