1"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL56519";"";"None";"203.28";"0";"2.17";"(+/-)-NH analogue of 22";"Oc1cccc2c1CC[C@@H]1NCCC[C@@H]21";"Ki";"'='";"11.0";"nM";"7.96";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL673016";"Compound was tested for agonistic activity against D2 receptor from cloned CHO cells, used [3H]U-86170 as radioligand";"F";"BAO_0000219";"cell-based format";"Cricetulus griseus";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126679";"1";"Scientific Literature";"J Med Chem";"1993";"CHEMBL3308072";"";"";"";"11.0"
"CHEMBL25359";"";"None";"231.34";"0";"2.59";"12a";"CCCN1CCC2Cc3c(O)cccc3C[C@H]21";"Ki";"'='";"2.4";"nM";"8.62";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL673016";"Compound was tested for agonistic activity against D2 receptor from cloned CHO cells, used [3H]U-86170 as radioligand";"F";"BAO_0000219";"cell-based format";"Cricetulus griseus";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126679";"1";"Scientific Literature";"J Med Chem";"1993";"CHEMBL3308072";"";"";"";"2.4"
"CHEMBL165022";"";"None";"243.39";"0";"3.61";"2b";"C#CC(C#C)=C1CCC(N(CCC)CCC)CC1";"Ki";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL670558";"Binding Affinity on High Affinity Site of Dopamine receptor D2S";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133710";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";"";"20.0"
"CHEMBL2113667";"";"None";"406.57";"1";"6.79";"7";"c1ccc(CCN2[C@@H]3CC[C@H]2CC(c2c(-c4ccccc4)[nH]c4ccccc24)C3)cc1";"Ki";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"14.76";"0.26";"-0.79";"31.53";"0";"CHEMBL671367";"Ability to displace [3H]spiperone binding to CHO cells stably expressing dopamine receptor D2";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134475";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3308072";"";"";"";"1000.0"
"CHEMBL4060403";"";"None";"460.37";"0";"3.99";"7a";"O=Cc1cnn2ccc(NC(=O)CCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12";"Ki";"'='";"0.41";"nM";"9.39";"";"";"UO_0000065";"20.39";"0.41";"5.40";"13.42";"0";"CHEMBL4010153";"Displacement of [3H]spiperone from human Dopamine D2S receptor expressed in CHO cell membranes after 2 hrs by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007455";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"0.41"
"CHEMBL4063235";"";"None";"405.50";"0";"3.20";"18";"COc1ccccc1N1CCN(CCCCOc2ccn3ncc(C#N)c3c2)CC1";"Ki";"'='";"0.16";"nM";"9.80";"";"";"UO_0000065";"24.16";"0.45";"6.60";"14.84";"0";"CHEMBL4010153";"Displacement of [3H]spiperone from human Dopamine D2S receptor expressed in CHO cell membranes after 2 hrs by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007455";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"0.16"
"CHEMBL4091155";"";"None";"432.36";"0";"4.18";"6a";"O=C(CCCN1CCN(c2cccc(Cl)c2Cl)CC1)Nc1ccn2nccc2c1";"Ki";"'='";"8.1";"nM";"8.09";"";"";"UO_0000065";"18.71";"0.38";"3.91";"15.30";"0";"CHEMBL4010156";"Displacement of [3H]spiperone from human Dopamine D2L receptor expressed in CHO cell membranes after 2 hrs by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007455";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"8.1"
"CHEMBL126780";"";"None";"435.52";"0";"3.13";"23";"COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3oc2=O)CC1";"Ki";"'='";"23.0";"nM";"7.64";"";"";"UO_0000065";"17.54";"0.33";"4.51";"10.18";"0";"CHEMBL671730";"Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144878";"1";"Scientific Literature";"J Med Chem";"2003";"CHEMBL3308072";"";"";"";"23.0"
"CHEMBL129429";"";"None";"461.53";"0";"4.45";"39";"COc1ccccc1N1CCN(CCCCNC(=O)/C=C/c2ccc(C(F)(F)F)cc2)CC1";"Ki";"'='";"36.79";"nM";"7.43";"";"";"UO_0000065";"16.11";"0.31";"2.98";"16.59";"0";"CHEMBL671730";"Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144878";"1";"Scientific Literature";"J Med Chem";"2003";"CHEMBL3308072";"";"";"";"36.79"
"CHEMBL349034";"";"None";"383.52";"0";"3.80";"42";"Fc1ccc(N2CCN(CC[C@H]3CC[C@H](Nc4ncccn4)CC3)CC2)cc1";"Ki";"'='";"8.5";"nM";"8.07";"";"";"UO_0000065";"21.04";"0.39";"4.27";"18.22";"0";"CHEMBL672206";"Binding affinity determined by measuring its ability to displace [3H]N-0437 radioligand in CHO-K1 cells on Cloned Human Dopamine receptor D2";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131565";"1";"Scientific Literature";"J Med Chem";"1998";"CHEMBL3307512";"";"";"";"8.5"
