"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL303824";"";"None";"323.48";"0";"4.40";"22";"CN1CCCC1CCNc1c2c(nc3ccccc13)CCCCC2";"Ki";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"18.55";"0.34";"1.60";"21.31";"0";"CHEMBL691618";"Compound was tested for its binding affinity towards human H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136076";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"1000.0"
"CHEMBL16068";"BROMOBENZENE";"None";"157.01";"0";"2.45";"BROMOBENZENE";"Brc1ccccc1";"Ki";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909156";"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";"";"";"";""
"CHEMBL90";"HISTAMINE";"4.0";"111.15";"0";"-0.09";"Histamine";"NCCc1c[nH]cn1";"Ki";"'='";"15848931924611.11";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL692992";"Inhibitory activity against human Histamine H1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145948";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"4.2"
"CHEMBL105385";"";"None";"402.92";"0";"4.55";"5";"CCOC(=O)N1CCN(CCCOc2ccc(-c3ccc(Cl)cc3)cc2)CC1";"Ki";"'='";"354.81";"nM";"6.45";"";"";"UO_0000065";"16.01";"0.31";"1.90";"15.35";"0";"CHEMBL697082";"Binding affinity at human cortical Histamine 1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134931";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"-6.45"
"CHEMBL150161";"";"None";"361.84";"0";"4.04";"(+)-8";"O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)C1)c1ccc(F)cc1";"Ki";"'='";"1467.0";"nM";"5.83";"";"";"UO_0000065";"16.12";"0.32";"1.79";"14.39";"1";"CHEMBL992748";"Binding affinity to human cloned histamine H1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155799";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";"";"1467.0"
"CHEMBL27577";"SALICYLAMIDE";"2.0";"137.14";"0";"0.49";"SALICYLAMIDE";"NC(=O)c1ccccc1O";"Ki";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909156";"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307512";"";"";"";""
"CHEMBL92667";"";"None";"293.41";"0";"3.77";"4b";"CN(C)CC1C[C@@H]2c3ccccc3Cc3ccccc3[C@H]2O1";"Ki";"'='";"0.7";"nM";"9.15";"";"";"UO_0000065";"31.20";"0.57";"5.38";"73.42";"0";"CHEMBL691453";"Ability to displace [3H]pyrilamine from human cloned histamine H1 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149209";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3308072";"";"";"";"0.7"
"CHEMBL2037531";"";"None";"378.54";"1";"5.53";"23";"O=C(CCCCN1CCC(c2ccccc2)CC1)c1nc2ccccc2s1";"Ki";"'='";"52.0";"nM";"7.28";"";"";"UO_0000065";"19.24";"0.37";"1.75";"21.94";"0";"CHEMBL2037968";"Displacement of [3H]Pyrilamine from human H1 histamine receptor by liquid scintillation assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2034919";"1";"Scientific Literature";"Eur J Med Chem";"2012";"None";"";"";"";"52.0"
"CHEMBL726";"FLUPHENAZINE";"4.0";"437.53";"0";"4.31";"6";"OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1";"Ki";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"16.91";"0.34";"3.09";"24.70";"0";"CHEMBL1030597";"Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149085";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3308072";"";"";"";"40.0"
"CHEMBL92337";"";"None";"378.52";"0";"2.81";"4p";"OCCN1CCN(CC2C[C@@H]3c4ccccc4Cc4ccccc4[C@H]3O2)CC1";"Ki";"'='";"3.7";"nM";"8.43";"";"";"UO_0000065";"22.28";"0.41";"5.62";"23.46";"0";"CHEMBL691453";"Ability to displace [3H]pyrilamine from human cloned histamine H1 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL231";"Histamine H1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149209";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3308072";"";"";"";"3.7"
