"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL168707";"";"None";"326.87";"0";"4.80";"8";"CC(C1=C(CCN(C)C)Cc2ccc(Cl)cc21)c1ccccn1";"Ki";"'='";"363.08";"nM";"6.44";"";"";"UO_0000065";"19.70";"0.38";"1.64";"39.93";"0";"CHEMBL744475";"Binding affinity towards cloned human muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells using [3H]N-methylscopolamine";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL211";"Muscarinic acetylcholine receptor M2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136812";"1";"Scientific Literature";"J Med Chem";"2003";"CHEMBL3307512";"";"";"";"-6.44"
"CHEMBL21509";"";"None";"276.38";"0";"3.97";"1";"CN(C)CCC1=C/C(=C\c2ccccn2)c2ccccc21";"Ki";"'='";"12589.25";"nM";"4.90";"";"";"UO_0000065";"17.73";"0.32";"0.93";"30.38";"0";"CHEMBL857563";"Affinity for Muscarinic acetylcholine receptor M2 expressed in CHO cells by [3H]NMS displacement.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL211";"Muscarinic acetylcholine receptor M2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134266";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"CHEMBL3308072";"";"";"";"-4.9"
"CHEMBL71483";"";"None";"394.51";"0";"3.68";"2l-l";"CC(C)(N)CC1CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1";"Ki";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"15.21";"0.29";"2.32";"9.01";"0";"CHEMBL748896";"Binding affinity against human muscarinic acetylcholine receptor M2 in transfected CHO cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL211";"Muscarinic acetylcholine receptor M2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136082";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"CHEMBL3308072";"";"";"";"1000.0"
"CHEMBL93017";"";"None";"590.76";"1";"3.70";"11";"CCCS(=O)(=O)N1CCC(N2CCC(C3(c4ccc([S+]([O-])c5ccc6c(c5)OCO6)cc4)OCCO3)CC2)CC1";"Ki";"'='";"0.823";"nM";"9.09";"";"";"UO_0000065";"15.38";"0.31";"5.38";"9.03";"0";"CHEMBL745479";"Binding affinity at human cloned acetylcholine receptor M2 in CHO cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL211";"Muscarinic acetylcholine receptor M2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132840";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"CHEMBL3308072";"";"";"";"0.823"
"CHEMBL12098";"SCH-211803";"None";"566.17";"2";"5.62";"SCH-211803";"Cc1cccc(C(=O)N2CCC(N3CCC(Cc4ccc(S(=O)(=O)c5cccc(Cl)c5)cc4)CC3)CC2)c1N";"Ki";"'='";"0.89";"nM";"9.05";"";"";"UO_0000065";"15.99";"0.32";"3.43";"10.81";"0";"CHEMBL748902";"Binding affinity against muscarinic acetylcholine receptor M2 stably expressed in CHO-K1 cells using [3H]-QNB as radioligand.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL211";"Muscarinic acetylcholine receptor M2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135271";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"CHEMBL3307512";"";"";"";"0.89"
"CHEMBL292574";"";"None";"191.23";"0";"0.56";"1";"c1cnc(O[C@@H]2CN3CCC2C3)cn1";"Ki";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"38.69";"0.72";"6.84";"19.34";"0";"CHEMBL752968";"Binding affinity towards human muscarinic M2 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL211";"Muscarinic acetylcholine receptor M2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131780";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";"";"40.0"
"CHEMBL355854";"";"None";"347.54";"0";"4.64";"2";"C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](CC[C@H]3CCC[C@H](C)N3C)[C@@H]12";"Ki";"'='";"4.3";"nM";"8.37";"";"";"UO_0000065";"24.07";"0.46";"3.73";"28.32";"0";"CHEMBL875217";"In vitro inhibitory activity against cloned human M2 muscarinic receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL211";"Muscarinic acetylcholine receptor M2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137123";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"4.3"
"CHEMBL38756";"";"None";"183.25";"0";"0.84";"1 (cis)";"C[C@H]1OCC2(CN3CCC2CC3)O1";"Ki";"'='";"9700.0";"nM";"5.01";"";"";"UO_0000065";"27.36";"0.53";"4.17";"23.10";"0";"CHEMBL752402";"Compound was evaluated for its binding affinity against muscarinic acetylcholine receptor M2 in guinea pig heart using (-)-[3H]-QNB as radioligand";"B";"BAO_0000357";"single protein format";"Cavia porcellus";"None";"None";"None";"None";"";"";"";"CHEMBL211";"Muscarinic acetylcholine receptor M2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126289";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"9.7"
"CHEMBL150624";"";"None";"532.73";"2";"6.67";"13";"CC(=C1CCN(C2CCN(C(=O)c3ccc(F)c4ccccc34)CC2)CC1)c1ccc([S+]([O-])C(C)C)cc1";"Ki";"'='";"2.7";"nM";"8.57";"";"";"UO_0000065";"16.08";"0.31";"1.90";"18.38";"0";"CHEMBL748895";"Binding affinity for human Muscarinic acetylcholine receptor M2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL211";"Muscarinic acetylcholine receptor M2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135669";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"2.7"
"CHEMBL71147";"";"None";"439.62";"1";"5.59";"13";"C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCCCC2)CC1";"Ki";"'='";"0.17";"nM";"9.77";"";"";"UO_0000065";"22.22";"0.43";"4.18";"20.96";"0";"CHEMBL747619";"Binding affinity against Muscarinic acetylcholine receptor M2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL211";"Muscarinic acetylcholine receptor M2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132745";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"0.17"
