"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL61861";"";"None";"373.30";"0";"4.23";"ORG-24598";"CN(CC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1)CC(=O)[O-].[Li+]";"Ki";"'<'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL648421";"Binding affinity of compound towards Binding affinity towards Alpha-1A adrenergic receptor was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL229";"Alpha-1a adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133889";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"-5.0"
"CHEMBL1824785";"";"None";"281.80";"0";"3.59";"24";"Cl.Fc1cccc(CN2C3CC4CC(C3)CC2C4)c1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1826467";"Inhibition of alpha-1A adrenergic receptor by NIMH PDSP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL229";"Alpha-1a adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821607";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"10000.0"
"CHEMBL41996";"";"None";"507.59";"1";"3.64";"13";"CC1=C(C(=O)NCCCN2CCC(C#N)(c3ccccn3)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1C";"Ki";"'='";"257.0";"nM";"6.59";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL648420";"In vitro antagonism at Alpha-1A adrenergic receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL229";"Alpha-1a adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133242";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"257.0"
"CHEMBL56";"8-OH-DPAT";"None";"247.38";"0";"3.37";"8-OH-DPAT";"CCCN(CCC)C1CCc2cccc(O)c2C1";"Ki";"'='";"1757.0";"nM";"5.75";"";"";"UO_0000065";"23.26";"0.44";"2.39";"24.52";"1";"CHEMBL642029";"Binding affinity was determined on human cloned Alpha-1A adrenoceptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL229";"Alpha-1a adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134307";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"1757.0"
"CHEMBL91405";"";"None";"486.54";"0";"4.12";"46";"CC1=C(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)NC(=O)N1";"Ki";"'='";"0.39";"nM";"9.41";"";"";"UO_0000065";"19.34";"0.37";"5.29";"12.81";"0";"CHEMBL652812";"Ability to displace [125I]- HEAT from human cloned Alpha-1A adrenergic receptor stably expressed in CHO cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL229";"Alpha-1a adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133772";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3308072";"";"";"";"0.39"
"CHEMBL180312";"";"None";"445.56";"0";"2.11";"RWJ-68141 (43)";"CCOC(=O)C1CCC(=O)N1CC(=O)CCN1CCN(c2ccccc2OC(C)C)CC1";"Ki";"'='";"59.0";"nM";"7.23";"";"";"UO_0000065";"16.22";"0.31";"5.12";"9.11";"0";"CHEMBL840159";"Binding constant measured against Alpha-1A adrenergic receptor in human prostate; ++:moderately active";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638250";"Prostate gland";"None";"None";"";"";"";"CHEMBL229";"Alpha-1a adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144284";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"59.0"
"CHEMBL276932";"";"None";"636.79";"2";"7.21";"7";"CCC1=NC(CC)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C(c2ccc([N+](=O)[O-])cc2)/C1=C(\O)OC";"Ki";"'='";"1.259";"nM";"8.90";"";"";"UO_0000065";"13.98";"0.26";"1.69";"7.59";"0";"CHEMBL643754";"Binding affinity was tested on human Alpha-1A adrenergic receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL229";"Alpha-1a adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129998";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";"";"-8.9"
"CHEMBL13903";"";"None";"462.58";"0";"3.25";"2e";"COc1ccccc1N1CCN(CCn2c(=O)[nH]c3sc(-c4ccccc4)cc3c2=O)CC1";"Ki";"'='";"0.868";"nM";"9.06";"";"";"UO_0000065";"19.59";"0.38";"5.81";"12.84";"0";"CHEMBL652820";"Binding affinity for human Alpha-1A adrenergic receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL229";"Alpha-1a adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134245";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"0.868"
"CHEMBL95263";"";"None";"691.92";"2";"7.50";"7";"CCCCCC1=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C(c2ccc([N+](=O)[O-])cc2)C(C(=O)NCC)=C(CC)N1";"Ki";"'='";"127.0";"nM";"6.90";"";"";"UO_0000065";"9.97";"0.18";"-0.60";"5.91";"0";"CHEMBL648787";"Binding affinity against human Alpha-1a adrenergic receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL229";"Alpha-1a adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132000";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";"";"127.0"
"CHEMBL200366";"";"None";"437.54";"0";"4.64";"10";"COc1cccc(OC)c1OCCNCCOc1ccccc1OCc1ccc(C)cc1";"Ki";"'='";"1.995";"nM";"8.70";"";"";"UO_0000065";"19.88";"0.37";"4.06";"14.95";"0";"CHEMBL868696";"Displacement of [3H]prazosin from cloned human ADRA1A expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL229";"Alpha-1a adrenergic receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141864";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3308072";"";"";"";"-8.7"
